Canal,Año,Mes,Share Niños 4-8 años,Rating en Miles Niños 4-8 años,Share Amas de casa 18+,Rating en Miles Amas de casa 18+,Share Personas 4+,Rating en Miles Personas 4+,Fecha
Disney Channel,2018,5,5.461935483870968,480.92,1.060967741935484,472.71,1.9200000000000002,2148.33,2018-05-01
Disney Channel,2018,6,4.337666666666666,358.95,0.9016666666666667,398.6,1.57,1794.43,2018-06-01
Disney Channel,2018,7,3.7687096774193547,282.9,0.9725806451612903,421.9,1.444193548387097,1595.12,2018-07-01
Disney Channel,2018,8,3.8729032258064517,304.31,0.9838709677419355,422.08,1.5470967741935484,1643.4,2018-08-01
Disney Channel,2018,9,3.1406666666666667,227.06,0.7056666666666668,291.12,1.258,1303.22,2018-09-01
Disney Channel,2018,10,3.8535483870967746,283.94,1.0858064516129031,453.84000000000003,1.752258064516129,1828.1,2018-10-01
Disney Channel,2018,11,3.393333333333333,268.7,0.7686666666666666,302.82,1.5916666666666666,1594.5,2018-11-01
Disney Channel,2018,12,4.387741935483871,326.04,0.7387096774193548,257.11,1.5712903225806452,1401.3,2018-12-01
Disney Channel,2019,1,4.332258064516129,317.01,0.9558064516129032,392.93,1.7180645161290322,1783.09,2019-01-01
Disney Channel,2019,2,5.798571428571429,356.98,0.8360714285714286,330.87,1.6328571428571428,1595.1100000000001,2019-02-01
Disney Channel,2019,3,7.029677419354839,455.33,0.9112903225806451,396.6,1.7567741935483872,1891.01,2019-03-01
Disney Channel,2019,4,6.854,432.86,0.7763333333333333,320.18,1.528,1588.62,2019-04-01
Disney Channel,2019,5,6.074516129032258,391.36,0.6851612903225807,289.37,1.383225806451613,1466.3700000000001,2019-05-01
Disney Channel,2019,6,5.212,364.16,0.77,315.84,1.5123333333333333,1610.62,2019-06-01
Disney Channel,2019,7,5.289677419354838,357.27,0.78,334.44,1.5696774193548388,1699.01,2019-07-01
Disney Channel,2019,8,5.061612903225806,338.38,0.8670967741935484,356.23,1.6996774193548387,1765.4,2019-08-01
Disney Channel,2019,9,4.816999999999999,302.27,1.154,457.19,1.7903333333333333,1756.0,2019-09-01
